Day,Quantity Item1,Description Item1,Quantity Item2,Description Item2,Calories
1,100gm,Keema Aalo,1,Wheat Roti,300
2,1,Chapli kabab,1,Wheat Roti,270
3,1,Pakistani Omelette,1,Wheat Roti,300
4,150gm,Murgh Cholay,1,Wheat Roti,345
5,1,Chapli kabab,1,Wheat Roti,345
6,100gm,Keema Aalo,1,Wheat Roti,270
7,1,Pakistani Omelette,1,Wheat Roti,300
8,150gm,Murgh Cholay,1,Wheat Roti,345
9,1,Chapli kabab,1,Wheat Roti,270
10,100gm,Keema Aalo,1,Wheat Roti,300
11,1,Pakistani Omelette,1,Wheat Roti,300
12,150gm,Murgh Cholay,1,Wheat Roti,345
13,1,Chapli kabab,1,Wheat Roti,270
14,100gm,Keema Aalo,1,Wheat Roti,300
15,1,Pakistani Omelette,1,Wheat Roti,300
16,150gm,Murgh Cholay,1,Wheat Roti,345
17,150gm,Murgh Cholay,1,Wheat Roti,345
18,1,Chapli kabab,1,Wheat Roti,270
19,100gm,Keema Aalo,1,Wheat Roti,300
20,1,Pakistani Omelette,1,Wheat Roti,300
21,1,Chapli kabab,1,Wheat Roti,345
22,150gm,Murgh Cholay,1,Wheat Roti,345
23,1,Chapli kabab,1,Wheat Roti,270
24,150gm,Murgh Cholay,1,Wheat Roti,345
25,1,Pakistani Omelette,1,Wheat Roti,300
26,100gm,Keema Aalo,1,Wheat Roti,345
27,150gm,Murgh Cholay,1,Wheat Roti,345
28,1,Chapli kabab,1,Wheat Roti,270
29,100gm,Keema Aalo,1,Wheat Roti,300
30,1,Pakistani Omelette,1,Wheat Roti,300
